Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target,Is_Mature_Student,First_Generation_Student,Financial_Risk_Flag,Pass_Rate_1st_Sem,Pass_Rate_2nd_Sem,Evaluation_Load_Ratio_1st_Sem,Evaluation_Load_Ratio_2nd_Sem
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.48432268416504665,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.25012359205554346,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,Graduate,0,1,0,1.0,0.8333333333333334,1.0,1.1666666666666667
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.25682316499696123,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.5302435328113464,Yes,No,Yes,Female,Yes,-0.6939730878554988,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,Graduate,0,1,0,0.875,0.875,1.0,1.0
Single,General Contingent,0.2071731591606723,Social & Humanities,Daytime,Basic/Secondary,0.02932364582887579,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.22249997701600713,Yes,No,Yes,Female,No,-0.562167955812708,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,Dropout,0,1,0,0.0,0.0,1.0,0.0
Single,Other Special,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Vocational/Technical,-1.714839334459779,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-1.0481863148026451,Yes,No,Yes,Female,Yes,-0.2985576917271264,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,Graduate,0,1,0,1.0,0.8333333333333334,1.1666666666666667,1.3333333333333333
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,1.2426544147253313,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,0.6990073364480024,Yes,No,Yes,Female,Yes,-0.6939730878554988,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,Graduate,0,1,0,0.8,1.0,1.4,1.0
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-0.425675392507295,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Professional/Managerial,-0.4335608801729703,Yes,No,Yes,Female,No,-0.4303628237699172,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,Dropout,0,1,0,0.8333333333333334,0.0,1.0,1.1666666666666667
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.33265633805298966,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.7197250477276551,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,Enrolled,0,1,0,0.16666666666666666,0.3333333333333333,1.6666666666666667,2.3333333333333335
Single,General Contingent,0.2071731591606723,Health Sciences,Daytime,Basic/Secondary,0.18098999194093274,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,0.022228767979372222,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,Graduate,0,1,0,1.0,1.0,1.1428571428571428,1.0
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.33265633805298966,Higher Education,Basic/Secondary,Professional/Managerial,Clerical/Service,0.6437601063689317,Yes,No,Yes,Female,No,-0.4303628237699172,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,Graduate,0,0,0,0.8,0.8,1.6,1.6
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.5601558572210751,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.1642306335374955,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,Enrolled,0,1,0,0.8571428571428571,0.8571428571428571,1.0,1.1428571428571428
Single,General Contingent,0.9684140695650034,Social & Humanities,Daytime,Basic/Secondary,-0.8048412577874374,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.4611844952125066,No,No,Yes,Female,Yes,-0.2985576917271264,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduate,0,1,0,0.0,0.0,0.0,0.0
Single,General Contingent,1.7296549799693344,Health Sciences,Daytime,Basic/Secondary,-0.425675392507295,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-0.35759593881424684,Yes,No,Yes,Female,No,-0.4303628237699172,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,Enrolled,0,1,0,1.0,1.0,2.0,1.125
Single,General Contingent,1.7296549799693344,Health Sciences,Daytime,Basic/Secondary,0.7118222033331321,Basic/Secondary,Basic/Secondary,Professional/Managerial,Professional/Managerial,-0.10207749969853928,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,Graduate,0,1,0,0.875,0.875,1.5,1.5
Single,General Contingent,1.7296549799693344,"Business, Management & Hospitality",Daytime,Basic/Secondary,-0.577341738619352,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-0.8341032982462411,Yes,No,Yes,Female,Yes,-0.562167955812708,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,Graduate,0,1,0,1.0,1.0,1.3333333333333333,1.1666666666666667
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,-0.5015085655633235,Basic/Secondary,Basic/Secondary,Professional/Managerial,Blue-Collar & Skilled Trades,-0.21257195985668262,No,No,Yes,Female,No,-0.562167955812708,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,Graduate,0,1,0,0.8571428571428571,0.875,1.1428571428571428,1.125
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,1.3943207608373882,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,2.073282184664915,Yes,Yes,Yes,Female,Yes,-0.6939730878554988,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,Enrolled,0,1,1,0.8333333333333334,0.6666666666666666,1.3333333333333333,2.0
Single,General Contingent,0.2071731591606723,Social & Humanities,Daytime,Basic/Secondary,-1.3356734691796368,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.7305147418479814,Yes,No,Yes,Female,No,-0.2985576917271264,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,Graduate,0,1,0,1.0,1.0,1.5,1.5
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.40848951110901816,Basic/Secondary,Basic/Secondary,Professional/Managerial,Professional/Managerial,0.2777472070950798,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,Enrolled,0,1,0,1.0,0.8,1.8,1.4
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.18098999194093274,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.33687822753459506,Yes,No,Yes,Female,No,-0.4303628237699172,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,Graduate,0,1,0,1.0,1.0,1.2,1.2
Single,General Contingent,0.2071731591606723,Health Sciences,Daytime,Basic/Secondary,-0.425675392507295,Higher Education,Higher Education,Professional/Managerial,Blue-Collar & Skilled Trades,-0.5647730516107663,Yes,No,Yes,Male,No,-0.562167955812708,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,Enrolled,0,0,0,0.8571428571428571,0.8571428571428571,1.2857142857142858,1.0
Single,Other Special,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,1.3184875877813598,Higher Education,Higher Education,Clerical/Service,Professional/Managerial,1.5898689214730366,No,No,Yes,Male,No,-0.2985576917271264,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,Enrolled,0,0,0,0.8333333333333334,0.8333333333333334,2.5,2.8333333333333335
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-0.577341738619352,Vocational/Technical,Higher Education,Professional/Managerial,Professional/Managerial,0.20868816949623997,Yes,No,Yes,Male,No,-0.4303628237699172,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,Graduate,0,0,0,1.0,0.6666666666666666,1.1666666666666667,1.5
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.7876553763891605,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.8164077003660313,No,No,No,Male,No,-0.6939730878554988,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,Enrolled,0,1,1,0.6,0.4,1.8,1.6
Single,General Contingent,-0.5540677512436588,Social & Humanities,Evening,Basic/Secondary,0.40848951110901816,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Clerical/Service,0.5194538386910192,Yes,No,Yes,Female,No,-0.562167955812708,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,Graduate,0,1,0,1.0,1.0,1.0,1.3333333333333333
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,-0.19817587333920963,Higher Education,Basic/Secondary,Professional/Managerial,Blue-Collar & Skilled Trades,0.30537082213461614,No,No,Yes,Male,No,1.414909024829154,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,Graduate,1,0,0,1.0,1.0,1.2,1.8
Single,Special/Non-Traditional,-0.5540677512436588,STEM,Daytime,Basic/Secondary,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-1.6904353644718553,No,Yes,No,Male,No,1.8103244209575264,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,Dropout,1,1,1,0.0,0.14285714285714285,1.0,1.0
Single,Special/Non-Traditional,-0.5540677512436588,STEM,Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Student,Student,0.12581732437763296,Yes,No,Yes,Male,No,2.6011552132142715,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Dropout,1,1,0,0.0,0.0,0.0,0.0
Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.5601558572210751,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.28163099745552245,No,No,Yes,Female,No,4.182816797727761,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,Dropout,1,1,0,0.2,0.4,2.0,1.6
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Professional/Managerial,-0.9031623358450809,Yes,No,Yes,Female,No,2.073934685043108,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,Graduate,1,1,0,1.0,1.0,1.6,1.0
Single,Other Special,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,-0.9565076038994943,Higher Education,Higher Education,Professional/Managerial,Blue-Collar & Skilled Trades,-0.48190220649215837,No,Yes,No,Female,No,-0.4303628237699172,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,Dropout,0,0,1,0.5,0.5,2.1666666666666665,1.8333333333333333
Single,General Contingent,2.4908958903736655,Social & Humanities,Daytime,Basic/Secondary,-0.5015085655633235,Higher Education,Higher Education,Professional/Managerial,Professional/Managerial,-0.4059372651334349,No,Yes,Yes,Female,No,-0.6939730878554988,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,Dropout,0,0,1,0.6666666666666666,0.0,1.0,1.0
Single,General Contingent,0.2071731591606723,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.02932364582887579,Higher Education,Basic/Secondary,Professional/Managerial,Blue-Collar & Skilled Trades,-0.454278591452622,Yes,No,Yes,Female,No,-0.16675255968433558,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,Graduate,0,0,0,1.0,1.0,1.0,1.0
Single,General Contingent,3.2521368007779965,Health Sciences,Daytime,Basic/Secondary,-2.2456715458519785,Basic/Secondary,Higher Education,Professional/Managerial,Professional/Managerial,-1.8216475359096513,Yes,No,Yes,Female,No,-0.16675255968433558,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,Graduate,0,0,0,0.7142857142857143,0.875,1.2857142857142858,1.125
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,-0.3852195538537822,No,No,No,Female,No,-0.4303628237699172,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,Dropout,0,1,1,0.6666666666666666,0.8333333333333334,1.1666666666666667,1.1666666666666667
Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-1.1932102937602085,No,No,Yes,Female,No,0.7558833646152,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Dropout,1,1,0,0.0,0.0,0.0,0.0
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,1.6218202800054737,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,0.4918302236514829,No,No,Yes,Female,No,0.09685770440124603,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,Enrolled,1,1,0,0.4,0.6,1.8,2.2
Single,General Contingent,0.2071731591606723,Social & Humanities,Daytime,Basic/Secondary,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.04294647925902397,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,Graduate,0,1,0,1.0,0.8333333333333334,1.0,1.3333333333333333
Single,General Contingent,3.2521368007779965,Health Sciences,Daytime,Basic/Secondary,-0.04650952722715268,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.37442985973345594,Yes,No,Yes,Female,Yes,-0.16675255968433558,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,Graduate,0,1,0,0.8571428571428571,0.875,1.1428571428571428,1.125
Single,Other Special,-0.5540677512436588,Social & Humanities,Evening,Vocational/Technical,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.4434888973322958,No,No,Yes,Female,Yes,-0.2985576917271264,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,Graduate,0,1,0,1.0,1.0,1.0,1.1666666666666667
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.48432268416504665,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.06064207713923577,No,No,Yes,Female,Yes,-0.562167955812708,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,Graduate,0,1,0,0.8333333333333334,1.0,1.1666666666666667,1.1666666666666667
Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.9307859508846172,No,No,Yes,Female,Yes,0.09685770440124603,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,Graduate,1,1,0,1.0,1.0,1.0,1.0
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.48432268416504665,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.39212545761366674,Yes,No,Yes,Female,Yes,-0.562167955812708,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,Enrolled,0,1,0,0.75,0.75,1.25,1.25
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-0.425675392507295,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.35759593881424684,Yes,No,Yes,Female,Yes,-0.4303628237699172,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,Enrolled,0,1,0,0.6666666666666666,0.5,1.8333333333333333,2.0
Single,General Contingent,0.9684140695650034,Social & Humanities,Daytime,Basic/Secondary,2.6076515297338436,Basic/Secondary,Basic/Secondary,Unknown/Not Reported,Unknown/Not Reported,2.2321179711422476,No,No,Yes,Female,No,-0.562167955812708,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,Graduate,0,1,0,1.0,1.0,1.4,1.0
Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.48190220649215837,No,No,Yes,Female,No,0.4922731005296184,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,Dropout,1,1,0,1.0,1.0,2.4,2.0
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,0.1465350356572837,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,Graduate,0,1,0,1.0,1.0,1.2857142857142858,1.25
Not Single,Other Special,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Higher Education,-0.19817587333920963,Basic/Secondary,Higher Education,Clerical/Service,Professional/Managerial,0.20868816949623997,No,No,Yes,Female,No,2.073934685043108,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,Dropout,1,0,0,0.0,0.0,1.6666666666666667,1.0
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Higher Education,-0.2740090463952381,Higher Education,Higher Education,Professional/Managerial,Professional/Managerial,1.9558818207468884,Yes,No,Yes,Female,No,0.4922731005296184,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,Dropout,1,0,0,0.8333333333333334,0.9090909090909091,1.5,1.1818181818181819
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.6359890302771035,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.8854667379648711,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,Graduate,0,1,0,1.0,1.0,1.0,1.0
Single,General Contingent,0.9684140695650034,Social & Humanities,Daytime,Basic/Secondary,-0.577341738619352,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-0.8133855869665894,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Enrolled,0,1,0,0.0,0.0,0.0,0.0
Single,General Contingent,0.2071731591606723,Health Sciences,Daytime,Basic/Secondary,-0.577341738619352,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.8341032982462411,No,No,Yes,Female,No,-0.6939730878554988,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,Graduate,0,1,0,0.8571428571428571,0.875,1.1428571428571428,1.5
Single,Other Special,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.33990034093403604,No,No,Yes,Female,Yes,-0.2985576917271264,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,Graduate,0,1,0,1.0,1.0,1.1666666666666667,1.1666666666666667
Single,General Contingent,0.9684140695650034,Social & Humanities,Daytime,Basic/Secondary,0.02932364582887579,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-0.06754798089911936,Yes,No,Yes,Male,Yes,-0.562167955812708,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Enrolled,0,1,0,0.0,0.0,0.0,0.0
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-0.425675392507295,Basic/Secondary,Basic/Secondary,Professional/Managerial,Clerical/Service,0.22249997701600713,Yes,No,Yes,Male,No,-0.562167955812708,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,Enrolled,0,1,0,0.8333333333333334,0.16666666666666666,1.0,1.3333333333333333
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-1.2598402961236081,Basic/Secondary,Basic/Secondary,Professional/Managerial,Professional/Managerial,-0.4197490726532021,No,No,Yes,Male,No,0.09685770440124603,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,Enrolled,1,1,0,0.0,0.0,1.0,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,-0.06754798089911936,Yes,No,Yes,Male,No,0.7558833646152,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,Dropout,1,1,0,0.7142857142857143,0.625,1.4285714285714286,1.25
Single,General Contingent,0.9684140695650034,Social & Humanities,Daytime,Basic/Secondary,0.48432268416504665,Basic/Secondary,Basic/Secondary,Clerical/Service,Professional/Managerial,0.08438190181832748,Yes,No,Yes,Male,Yes,-0.562167955812708,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduate,0,1,0,0.0,0.0,0.0,0.0
Single,Other Special,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.20868816949623997,Yes,No,Yes,Male,No,-0.034947427641544786,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,Graduate,0,1,0,1.0,1.0,1.3333333333333333,1.1666666666666667
